id,imdb_id,title,original_title,release_year,release_date,runtime_minutes,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,popularity,vote_average,vote_count,budget,revenue,overview,tagline,status,original_language,adult,video,keywords,has_mpst_synopsis
127380,tt2277860,Finding Dory,Finding Dory,2016,2016-06-16,97.0,"[""Adventure"",""Animation"",""Comedy"",""Family""]","[""Walt Disney Pictures"",""Pixar Animation Studios"",""Hurwitz Creative""]","[""United States of America""]","[""English""]",Finding Nemo Collection,14.477677,6.8,4333,200000000,1028570889,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,An unforgettable journey she probably won't remember.,Released,en,False,False,"[""fish"",""amnesia"",""sequel"",""animation"",""talking animal"",""anthropomorphism"",""underwater""]",False
130925,tt2340678,Partysaurus Rex,Partysaurus Rex,2012,2012-09-14,7.0,"[""Animation"",""Comedy"",""Family"",""Fantasy""]","[""Walt Disney Pictures"",""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,6.066171,7.4,81,0,0,"When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends.",An Electro Sudsy Good Time!,Released,en,False,False,"[""tyrannosaurus rex"",""bath tub"",""water"",""party"",""toys"",""strobe light"",""sponge"",""bubble"",""rubber duck"",""short"",""house music"",""toy story""]",False
134360,tt0022147,Mickey's Orphans,Mickey's Orphans,1931,1931-12-09,7.0,"[""Animation""]","[""Walt Disney Pictures"",""Columbia Pictures""]","[""United States of America""]","[""English""]",,0.832055,4.8,6,0,0,"At Christmas time, Mickey Mouse, Minnie and Pluto are beset by an enormous litter of bratty orphan cats.",,Released,en,False,False,[],False
140420,tt2388725,Paperman,Paperman,2012,2012-11-02,7.0,"[""Animation"",""Family"",""Romance""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",,7.198633,8.0,734,0,0,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,"Delicate, charming and sweet.",Released,en,False,False,"[""train station"",""skyscraper"",""black and white"",""paper airplane"",""office romance"",""animated short"",""very little dialogue"",""short""]",True
140823,tt2140373,Saving Mr. Banks,Saving Mr. Banks,2013,2013-11-16,125.0,"[""Comedy"",""Drama"",""History""]","[""Walt Disney Pictures"",""BBC Films"",""Ruby Films"",""Essential Media & Entertainment"",""Hopscotch Features""]","[""Australia"",""United Kingdom"",""United States of America""]","[""English""]",,15.130888,7.3,1256,35000000,112544580,Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.,"Where her book ended, their story began.",Released,en,False,False,"[""biography"",""animation"",""writer"",""film production""]",True
141423,tt2565938,The Legend of Mor'du,The Legend of Mor'du,2012,2012-01-01,6.0,"[""Animation"",""Family""]","[""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,3.785848,5.9,18,0,0,"The witch from Pixar's Brave uses magical illustrations to tell the legend of a power-obsessed prince who sought a magic spell that would allow him to wrest control of a kingdom from his brothers, only to destroy that kingdom and his own fate as well.",,Released,en,False,False,"[""transformation""]",False
145316,tt2100093,Air Mater,Air Mater,2011,2011-08-04,6.0,"[""Animation"",""Family""]","[""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,8.844424,5.8,33,0,0,Mater's decision to fly lands him accidentally at a big airshow.,,Released,en,False,False,"[""flying"",""animation"",""car"",""talking car"",""air show"",""short"",""pixar animation""]",False
150540,tt2096673,Inside Out,Inside Out,2015,2015-06-09,94.0,"[""Drama"",""Comedy"",""Animation"",""Family""]","[""Walt Disney Pictures"",""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,23.985587,7.9,6737,175000000,857611174,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",Meet the little voices inside your head.,Released,en,False,False,"[""dream"",""cartoon"",""imaginary friend"",""animation"",""family"",""moving"",""kids"",""unicorn"",""duringcreditsstinger"",""3d"",""emotions""]",True
150689,tt1661199,Cinderella,Cinderella,2015,2015-03-12,105.0,"[""Romance"",""Fantasy"",""Family"",""Drama""]","[""Walt Disney Pictures"",""Genre Films"",""Beagle Pug Films"",""Allison Shearmur Productions""]","[""United Kingdom"",""United States of America""]","[""English""]",,19.801128,6.7,2426,95000000,543514353,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",Midnight is just the beginning.,Released,en,False,False,"[""cinderella"",""magic"",""prince"",""fairy tale"",""kingdom"",""royalty"",""orphan"",""lost shoe"",""evil stepmother"",""retelling""]",True
151960,tt1691917,Planes,Planes,2013,2013-08-09,91.0,"[""Animation"",""Family"",""Adventure"",""Comedy""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",Planes Collection,11.604181,5.7,568,50000000,219788712,"Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true.",From above the world of Cars,Released,en,False,False,"[""crop duster"",""fighter jet"",""anthropomorphism""]",False
158852,tt1964418,Tomorrowland,Tomorrowland,2015,2015-05-19,130.0,"[""Adventure"",""Family"",""Mystery"",""Science Fiction""]","[""Walt Disney Pictures"",""Babieka"",""A113""]","[""United States of America""]","[""English""]",,22.296076,6.2,2904,190000000,209154322,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",Imagine a world where nothing is impossible.,Released,en,False,False,"[""inventor"",""apocalypse"",""destiny"",""imax"",""dreamer"",""futuristic car"",""futuristic city""]",True
